 #mass            theta           
   0.00000030000   0.10000000000
  #Global X        distance        pnn             pmn             pnm             pmm             
   5.150880E-001   3.504000E-003   2.186489E-008   2.310214E-007   2.310214E-007   5.571169E-006
   5.221440E-001   3.528000E-003   2.090445E-008   2.208735E-007   2.208735E-007   5.326448E-006
   5.292480E-001   3.552000E-003   1.998619E-008   2.111713E-007   2.111713E-007   5.092476E-006
   5.364000E-001   3.576000E-003   1.910827E-008   2.018953E-007   2.018953E-007   4.868781E-006
   5.436000E-001   3.600000E-003   1.826891E-008   1.930267E-007   1.930267E-007   4.654913E-006
   5.508480E-001   3.624000E-003   1.746642E-008   1.845477E-007   1.845477E-007   4.450439E-006
   5.581440E-001   3.648000E-003   1.669918E-008   1.764412E-007   1.764412E-007   4.254947E-006
   5.654880E-001   3.672000E-003   1.596565E-008   1.686908E-007   1.686908E-007   4.068042E-006
   5.728800E-001   3.696000E-003   1.526433E-008   1.612808E-007   1.612808E-007   3.889348E-006
   5.803200E-001   3.720000E-003   1.459382E-008   1.541963E-007   1.541963E-007   3.718502E-006
   5.878080E-001   3.744000E-003   1.395277E-008   1.474230E-007   1.474230E-007   3.555162E-006
   5.953440E-001   3.768000E-003   1.333987E-008   1.409472E-007   1.409472E-007   3.398996E-006
   6.029280E-001   3.792000E-003   1.275390E-008   1.347559E-007   1.347559E-007   3.249690E-006
   6.105600E-001   3.816000E-003   1.219367E-008   1.288366E-007   1.288366E-007   3.106943E-006
   6.182400E-001   3.840000E-003   1.165804E-008   1.231772E-007   1.231772E-007   2.970466E-006
   6.259680E-001   3.864000E-003   1.114595E-008   1.177665E-007   1.177665E-007   2.839984E-006
   6.337440E-001   3.888000E-003   1.065634E-008   1.125934E-007   1.125934E-007   2.715234E-006
   6.415680E-001   3.912000E-003   1.018825E-008   1.076476E-007   1.076476E-007   2.595963E-006
   6.494400E-001   3.936000E-003   9.740715E-009   1.029190E-007   1.029190E-007   2.481932E-006
   6.573600E-001   3.960000E-003   9.312840E-009   9.839816E-008   9.839816E-008   2.372909E-006
   6.653280E-001   3.984000E-003   8.903760E-009   9.407588E-008   9.407588E-008   2.268676E-006
   6.733440E-001   4.008000E-003   8.512649E-009   8.994346E-008   8.994346E-008   2.169021E-006
   6.814080E-001   4.032000E-003   8.138718E-009   8.599256E-008   8.599256E-008   2.073743E-006
   6.895200E-001   4.056000E-003   7.781213E-009   8.221521E-008   8.221521E-008   1.982651E-006
   6.976800E-001   4.080000E-003   7.439412E-009   7.860379E-008   7.860379E-008   1.895560E-006
   7.058880E-001   4.104000E-003   7.112625E-009   7.515100E-008   7.515100E-008   1.812295E-006
   7.141440E-001   4.128000E-003   6.800193E-009   7.184989E-008   7.184989E-008   1.732687E-006
   7.224480E-001   4.152000E-003   6.501485E-009   6.869378E-008   6.869378E-008   1.656577E-006
   7.308000E-001   4.176000E-003   6.215897E-009   6.567630E-008   6.567630E-008   1.583809E-006
   7.392000E-001   4.200000E-003   5.942855E-009   6.279137E-008   6.279137E-008   1.514238E-006
   7.476480E-001   4.224000E-003   5.681807E-009   6.003317E-008   6.003317E-008   1.447723E-006
   7.561440E-001   4.248000E-003   5.432225E-009   5.739613E-008   5.739613E-008   1.384129E-006
   7.646880E-001   4.272000E-003   5.193607E-009   5.487492E-008   5.487492E-008   1.323330E-006
   7.732800E-001   4.296000E-003   4.965470E-009   5.246446E-008   5.246446E-008   1.265200E-006
   7.819200E-001   4.320000E-003   4.747354E-009   5.015988E-008   5.015988E-008   1.209625E-006
